Year,Code,Area,Cancer Type,Age-Adjusted Rate,Case Count,Population,per_100k
2000,PA,Pennsylvania,Cervix,9.4,628,6351999,9.89
2000,PR,Puerto Rico,,Data Suppressed,Data Suppressed,,
2000,RI,Rhode Island,Cervix,8.7,49,545774,8.98
2000,SC,South Carolina,Cervix,9.4,199,2068627,9.62
2000,SD,South Dakota,Cervix,Data Suppressed,Data Suppressed,,
2000,TN,Tennessee,Cervix,9.2,282,2926133,9.64
2000,TX,Texas,Cervix,11.4,1145,10545156,10.86
2000,United States,United States,Cervix,9.6,13898,141865770,9.80
2000,UT,Utah,Cervix,6.8,64,1119827,5.72
2000,VT,Vermont,Cervix,11.2,37,310849,11.90
2000,VA,Virginia,Cervix,7.6,287,3619742,7.93
2000,WA,Washington,Cervix,7.8,235,2967734,7.92
2000,WV,West Virginia,Cervix,11.2,113,928269,12.17
2000,WI,Wisconsin,Cervix,9.4,258,2719235,9.49
2000,WY,Wyoming,Cervix,9,22,245584,8.96
2001,AL,Alabama,Cervix,9.7,232,2309496,10.05
2001,AK,Alaska,Cervix,10.2,29,305579,9.49
2001,AZ,Arizona,Cervix,8,209,2641676,7.91
2001,ArKS,Arkansas,Cervix,11.4,159,1376845,11.55
2001,CA,California,Cervix,9.1,1537,17294223,8.89
2001,CO,Colorado,Cervix,7.6,168,2195705,7.65
2001,CT,Connecticut,Cervix,7.1,136,1768959,7.69
2001,DE,Delaware,Cervix,10.1,43,409349,10.50
2001,DC,District of Columbia,Cervix,10.7,34,303740,11.19
2001,FL,Florida,Cervix,11.2,1009,8372776,12.05
2001,GA,Georgia,Cervix,9.3,393,4256162,9.23
2001,HI,Hawaii,Cervix,9.2,58,609189,9.52
2001,ID,Idaho,Cervix,6.8,42,658043,6.38
2001,IL,Illinois,Cervix,10,645,6370443,10.12
2001,IN,Indiana,Cervix,9.3,291,3120158,9.33
2001,IA,Iowa,Cervix,7.9,119,1492287,7.97
2001,KS,Kansas,Cervix,9.5,129,1365966,9.44
2001,KY,Kentucky,Cervix,11.3,243,2076871,11.70
2001,LA,Louisiana,Cervix,10,228,2308063,9.88
2001,ME,Maine,Cervix,8.9,64,659657,9.70
2001,MD,Maryland,Cervix,6.9,200,2779864,7.19
2001,MA,Massachusetts,Cervix,6.5,230,3312567,6.94
2001,MI,Michigan,Cervix,8.9,461,5089289,9.06
2001,MN,Minnesota,Cervix,6.9,175,2514149,6.96
